locality,year,price
LAKE WENDOUREE,2021,860000.0
LAKES ENTRANCE,2021,380000.0
LALOR,2021,670000.0
LANCEFIELD,2021,562500.0
LANG LANG,2021,555000.0
LANGWARRIN,2021,697500.0
LARA,2021,698500.0
LARA LAKE,2021,600000.0
LAUNCHING PLACE,2021,694000.0
LAVERTON,2021,575000.0
LAVERTON SOUTH,2021,674000.0
LEITCHVILLE,2021,197500.0
LENEVA,2021,552500.0
LEONGATHA,2021,457500.0
LEOPOLD,2021,568500.0
LILYDALE,2021,820000.0
LISMORE,2021,180000.0
LOCH SPORT,2021,300500.0
LONG GULLY,2021,344000.0
LONGWARRY,2021,480500.0
LORNE,2021,1650000.0
LOVELY BANKS,2021,630000.0
LOWER PLENTY,2021,961000.0
LUCAS,2021,540000.0
LUCKNOW,2021,302500.0
LYNBROOK,2021,680000.0
LYNDHURST,2021,810000.0
LYSTERFIELD,2021,839500.0
MACEDON,2021,907500.0
MACLEOD,2021,1125000.0
MADDINGLEY,2021,555000.0
MAFFRA,2021,320000.0
MAIDEN GULLY,2021,582500.0
MAIDSTONE,2021,791000.0
MALDON,2021,546500.0
MALLACOOTA,2021,510000.0
MALMSBURY,2021,695000.0
MALVERN,2021,2317500.0
MALVERN EAST,2021,1795000.0
MANIFOLD HEIGHTS,2021,820000.0
MANOR LAKES,2021,570500.0
MANSFIELD,2021,555000.0
MARIBYRNONG,2021,1030000.0
MARONG,2021,395000.0
MARSHALL,2021,535000.0
MARYBOROUGH,2021,315000.0
MARYSVILLE,2021,670000.0
MCCRAE,2021,1142500.0
MCKENZIE HILL,2021,625000.0
MCKINNON,2021,1740500.0
MCLOUGHLINS BEACH,2021,215000.0
MEADOW HEIGHTS,2021,540500.0
MELTON,2021,410000.0
MELTON SOUTH,2021,435000.0
MELTON WEST,2021,487500.0
MENTONE,2021,974500.0
MERBEIN,2021,205000.0
MERINDA PARK,2021,562500.0
MERNDA,2021,612000.0
METUNG,2021,407500.0
MICKLEHAM,2021,595000.0
MIDDLE PARK,2021,3675000.0
MILDURA,2021,350000.0
MILL PARK,2021,717500.0
MILLGROVE,2021,479000.0
MINERS REST,2021,441500.0
MINYIP,2021,95000.0
MIRBOO NORTH,2021,408000.0
MITCHAM,2021,1205000.0
MITCHELL PARK,2021,355000.0
MOE,2021,277000.0
MONBULK,2021,775500.0
MONT ALBERT,2021,1988000.0
MONT ALBERT NORTH,2021,1350000.0
MONTMORENCY,2021,910000.0
MONTROSE,2021,762500.0
MOONEE PONDS,2021,1411000.0
MOORABBIN,2021,1219500.0
MOOROOLBARK,2021,750000.0
MOOROOPNA,2021,267500.0
MORDIALLOC,2021,1088000.0
MORNINGTON,2021,950000.0
MORTLAKE,2021,273000.0
MORWELL,2021,225000.0
MOUNT BEAUTY,2021,418000.0
MOUNT CLEAR,2021,515000.0
MOUNT DANDENONG,2021,803500.0
MOUNT DUNEED,2021,594500.0
MOUNT ELIZA,2021,1560000.0
MOUNT EVELYN,2021,741000.0
MOUNT HELEN,2021,700000.0
MOUNT MACEDON,2021,610000.0
MOUNT MARTHA,2021,1777500.0
MOUNT PLEASANT,2021,410000.0
MOUNT WAVERLEY,2021,1440000.0
MULGRAVE,2021,930000.0
MURCHISON,2021,425000.0
MURRUMBEENA,2021,1512500.0
MURTOA,2021,128000.0
MYRTLEFORD,2021,425000.0
NAGAMBIE,2021,530000.0
NARRE WARREN,2021,644500.0
NARRE WARREN NORTH,2021,1275000.0
NARRE WARREN SOUTH,2021,700000.0
NATHALIA,2021,313500.0
NEERIM SOUTH,2021,537500.0
NELSON,2021,270000.0
NERRINA,2021,602500.0
NEW GISBORNE,2021,732500.0
NEWBOROUGH,2021,350000.0
NEWCOMB,2021,510000.0
NEWINGTON,2021,742500.0
NEWLANDS ARM,2021,619000.0
NEWPORT,2021,1150000.0
NEWSTEAD,2021,475000.0
NEWTOWN (GREATER GEELONG),2021,925000.0
NHILL,2021,135000.0
NICHOLS POINT,2021,540000.0
NIDDRIE,2021,1000000.0
NOBLE PARK,2021,731000.0
NOBLE PARK NORTH,2021,710000.0
NORLANE,2021,417500.0
NORTH BENDIGO,2021,392500.0
NORTH GEELONG,2021,650000.0
NORTH MELBOURNE,2021,1300500.0
NORTH WONTHAGGI,2021,446000.0
NORTHCOTE,2021,1459500.0
NOTTING HILL,2021,850000.0
NUMURKAH,2021,315000.0
NUNAWADING,2021,1000000.0
NYAH WEST,2021,150000.0
NYORA,2021,710000.0
OAK PARK,2021,960000.0
OAKLEIGH,2021,1696000.0
OAKLEIGH EAST,2021,1000000.0
OAKLEIGH SOUTH,2021,1129000.0
OCEAN GROVE,2021,862500.0
OFFICER,2021,635000.0
OFFICER SOUTH,2021,535000.0
OLINDA,2021,1050000.0
OMEO,2021,270000.0
ORBOST,2021,232500.0
ORMOND,2021,1647000.0
OSBORNE,2021,925000.0
OUYEN,2021,123000.0
PAKENHAM,2021,575000.0
PARADISE BEACH,2021,301000.0
PARK ORCHARDS,2021,1800500.0
PARKDALE,2021,1365000.0
PARKVILLE,2021,1546000.0
PASCOE VALE,2021,1000000.0
PASCOE VALE SOUTH,2021,1212500.0
PATTERSON GARDENS,2021,1145000.0
PATTERSON LAKES,2021,1317000.0
PAYNESVILLE,2021,399000.0
PEARCEDALE,2021,720000.0
PETERBOROUGH,2021,632500.0
PIONEER BAY,2021,319000.0
PLENTY,2021,1520000.0
POINT COOK,2021,710000.0
POINT LONSDALE,2021,1000000.0
POREPUNKAH,2021,769500.0
PORT ALBERT,2021,358000.0
PORT FAIRY,2021,755000.0
PORT FRANKLIN,2021,150000.0
PORT MELBOURNE,2021,1455000.0
PORT WELSHPOOL,2021,452500.0
PORTARLINGTON,2021,752500.0
PORTLAND,2021,315000.0
PORTLAND NORTH,2021,589500.0
PORTSEA,2021,2585000.0
PRAHRAN,2021,1560000.0
PRESTON,2021,1082500.0
PRINCES HILL,2021,1970000.0
PYRAMID HILL,2021,121500.0
QUARRY HILL,2021,470000.0
QUEENSCLIFF,2021,1655000.0
RAINBOW,2021,105000.0
RAYMOND ISLAND,2021,405000.0
RED CLIFFS,2021,272500.0
REDAN,2021,426500.0
RESEARCH,2021,1067500.0
RESERVOIR,2021,832500.0
RHYLL,2021,1132500.0
RICHMOND,2021,1330000.0
RIDDELLS CREEK,2021,728500.0
RINGWOOD,2021,950000.0
RINGWOOD EAST,2021,955000.0
RINGWOOD NORTH,2021,1075000.0
RIPPLESIDE,2021,694000.0
ROBINVALE,2021,300000.0
ROCHESTER,2021,270000.0
ROCKBANK,2021,565000.0
ROMSEY,2021,714000.0
ROSANNA,2021,1356500.0
ROSEBUD,2021,642500.0
ROSEBUD SOUTH,2021,820000.0
ROSEDALE,2021,335000.0
ROWVILLE,2021,887500.0
ROXBURGH PARK,2021,569500.0
RUPANYUP,2021,114500.0
RUSHWORTH,2021,332500.0
RUTHERGLEN,2021,365000.0
