pha_code,pha_name,poor_health_pct,ed_asr_per_100k
20073,Mill Park - South,15.261419735024113,163.51169404998106
20074,Doreen/ Mernda/ South Morang ,17.67811864867029,25438.713160517273
20075,Wallan/ Whittlesea,17.310643745423352,25448.554896585418
20076,Airport West/ Avondale Heights/ Keilor East,12.066563616521574,23623.55761249453
20077,Keilor,11.945871823274361,24759.688825110858
20078,Niddrie - Essendon West,12.254299078132341,20064.096236689587
20079,Strathmore,9.190515748350284,18473.04165084421
20080,Gisborne/ Macedon/ Riddells Creek,12.446601021885595,16644.11983635997
20081,Romsey,14.201464191841854,20964.524683402342
20082,Coburg North,13.003250971274303,25123.903067384483
20083,Fawkner,16.066328925060912,29419.285143822377
20084,Glenroy/ Gowanbrae/ Hadfield,14.862270807320877,27281.378393452764
20085,Oak Park/ Pascoe Vale,16.717445598952562,24356.189590299735
20086,Sunbury,15.655919773647033,24653.27988778665
20087,Broadmeadows,21.28698089789464,38584.1609020722
20088,Campbellfield - Coolaroo,21.77062514118798,33474.048184698986
20089,Craigieburn - Mickleham,20.953295101337957,25898.418814219833
20090,Gladstone Park - Westmeadows/ Tullamarine,15.499356634706956,29133.47653269191
20091,Greenvale - Bulla/ Melbourne Airport,14.83420757830321,25340.716852498455
20092,Meadow Heights,28.970792331141254,33611.95032832805
20093,Roxburgh Park - Somerton,22.209200014148056,31701.42062059362
20094,Bayswater/ Boronia/ The Basin,15.387935301807145,27889.98671227485
20095,Ferntree Gully,14.599608864683306,33227.377560170986
20096,Knoxfield - Scoresby,14.480879037577143,19528.896508790447
20097,Lysterfield/ Rowville,12.640816245898387,20731.75585527533
20098,Wantirna/ Wantirna South,13.196665362940402,21887.29169071375
20099,Donvale - Park Orchards/ Warrandyte - Wonga Park,10.140327266739668,18918.41675862764
20100,Bayswater North/ Ringwood East,14.053285115318408,25803.755462783334
20101,Croydon,14.71030129704167,26213.407213430346
20101,Croydon,14.71030129704167,27433.135334217837
20101,Ballarat,17.209802525205326,26213.407213430346
20101,Ballarat,17.209802525205326,27433.135334217837
20102,Croydon Hills - Warranwood/ Ringwood North,12.635666544853553,21989.50342606549
